Unnamed: 0,Keyword,Score,Acc.,Bias
11,actress,2.062,0.9638297872340426,S
8,hair color,1.094,0.9306930693069309,S
9,model,0.5312,0.965482233502538,S
14,premiere of romantic,0.4688,0.9531615925058547,S
17,long hair,0.4531,0.9042553191489362,S
2,hair,0.3281,0.9433734939759036,M
13,color,0.25,0.9330357142857144,S
6,love,0.1875,0.9674220963172804,M
12,style,0.1719,0.9540229885057472,S
3,premiere,0.125,0.9764432647644328,S
16,romantic comedy film,0.09375,0.9531615925058547,S
15,premiere of comedy,0.0625,0.9619377162629758,S
18,romantic comedy,0.0625,0.9531615925058547,S
